CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10117,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10118,No,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Very High Priority,No Priority,No Priority,No Priority,8
10122,Yes,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
10124,No,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,8
10140,No,Slight Priority,Slight Priority,High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,High Priority,No Priority,Moderate Priority,Moderate Priority,8
10147,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
10163,No,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10164,No,No Priority,High Priority,No Priority,No Priority,Very High Priority,Very High Priority,High Priority,High Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,No Priority,8
10166,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10170,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10191,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
10197,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,No Priority,Very High Priority,Very High Priority
10207,Yes,Slight Priority,No Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Slight Priority,High Priority,No Priority,8
10213,No,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
10227,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10228,No,Moderate Priority,Slight Priority,Very High Priority,High Priority,No Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,No Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,8
10238,No,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10240,No,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority
10248,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10255,No,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
10267,No,High Priority,No Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,Slight Priority,8
10269,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,8
10282,No,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,Slight Priority,No Priority,8
10295,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10304,No,Slight Priority,Moderate Priority,High Priority,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
10309,No,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,No Priority,Moderate Priority,Slight Priority,Moderate Priority,No Priority,No Priority,8
10327,Yes,Slight Priority,No Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,High Priority,High Priority,8
10334,Yes,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,9,Moderate Priority,Slight Priority,No Priority,No Priority,Slight Priority,Very High Priority,High Priority,Very High Priority
10342,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10347,No,No Priority,Slight Priority,No Priority,No Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,High Priority,Moderate Priority,No Priority,No Priority,8
10369,No,No Priority,No Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,Slight Priority,No Priority,No Priority,No Priority,Very High Priority,High Priority,No Priority,No Priority,8
10370,No,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,8
10371,No,9,9,9,9,9,Very High Priority,Very High Priority,Very High Priority,9,9,9,9,9,9,9,9
10372,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,8
10374,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
10414,Yes,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,High Priority,No Priority,No Priority,No Priority,8
10428,No,Moderate Priority,Slight Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Moderate Priority,Slight Priority,No Priority,Slight Priority,Slight Priority,High Priority,High Priority,8
10429,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
10432,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Slight Priority,No Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10454,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
10465,Yes,No Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Very High Priority
10469,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10488,No,Very High Priority,Slight Priority,No Priority,No Priority,Slight Priority,High Priority,Slight Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,8
10505,9,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,8
10509,No,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Slight Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Slight Priority,High Priority,Moderate Priority,8
10522,No,No Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10526,No,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
10533,No,No Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,No Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,8
10535,No,No Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,8
